Course,Course Code,Capacity,Faculty Name,Category,Online
Introduction to Visual Studies,ARTS101_Fall2022_S01,50,Tram Luong,E1,On-campus
Introduction to Visual Studies,ARTS101_Fall2022_S02,50,Richard Streitmatter-Tran,E1,On-campus
Introduction to Art History and Theory,ARTS102_Fall2022_S01,50,Pamela Corey,E1,On-campus
Video and Film Production,ARTS104_Fall2022_S01,25,Aaron Toronto,E1,On-campus
2D/3D Foundations,ARTS107_Fall2022_S01,25,Richard Streitmatter-Tran,E1,On-campus
Principles of Acting,ARTS206_Fall2022_S01,25,Aaron Toronto,E1,On-campus
Sound Art,ARTS303_Fall2022_S01,30,Jacqueline Hoang-Nguyen,C1,On-campus
Independent Study: Advanced Readings in Theory,ARTS398_Fall2022_S01,10,Pamela Corey,EL,On-campus
Computer Science I,CS101_Fall2022_S01,50,Phan Thanh Trung,E4,On-campus
Algorithm,CS102_Fall2022_S01,50,Huynh Viet Linh,C4,On-campus
Computer Organization,CS203_Fall2022_S01,40,Truong Trung Kien,E3 E4,On-campus
Machine Learning for Data Science,CS208_Fall2022_S01,40,Dang Huynh,C4,On-campus
Introduction to Machine Learning,CS307_Fall2022_S01,30,Vincent Ng,C4,Online
Advanced Programming Techniques,CS309_Fall2022_S01,30,Synh Ha,C4,On-campus
Global History Lab: History of the World,HIS105_Fall2022_S01,50,Antoine Le,E1 E2,Online
US in the World,HIS108_Fall2022_S01,50,Sean Fear,E1 E2,On-campus
The Global Vietnam War I,HIS208_Fall2022_S01,40,Sean Fear,E1 E2,On-campus
History of International Communism,HIS301_Fall2022_S01,30,Vu Minh Hoang,C2 ,On-campus
Asian Borderlands,HIS304_Fall2022_S01,30,Mark Frank,C2,On-campus
Race and Empire,HIS306_Fall2022_S01,30,Elsa Costa,C2,On-campus
Principles of Economics 1,ECON101_Fall2022_S01,50,Lan Nguyen,E2,On-campus
Principles of Economics 2,ECON103_Fall2022_S01,50,Khieu Van Hoang,E2,On-campus
Econometrics,ECON209_Fall2022_S01,40,Phan Tuan Ngoc,E2,On-campus
Economics of Inequality,ECON302_Fall2022_S01,30,Khieu Van Hoang,E2,On-campus
Behavioural and Experimental Economics,ECON305_Fall2022_S01,30,Graeme Walker,C2,On-campus
Intelligent Robot Studio: From Theory to Practice,ENG202_Fall2022_S01,30,Phung Manh Duong,E3 E4,On-campus
Introductory Biology,IS101_Fall2022_S01,50,Nguyen Thi Hong Dung,E3,On-campus
Environmental Sciences,IS103_Fall2022_S01,50,Nguyen Thi Huyen Trang,E3,On-campus
Organic Chemistry,IS205_Fall2022_S01,40,Nguyen Thi Trang,C3,On-campus
Foundations in Literary Studies,LIT101_Fall2022_S01,50,Isadora Wagner,E1,On-campus
Critical Methods in Literary Studies,LIT103_Fall2022_S01,50,Yen Vu,E1,On-campus
Pacific Voyages in Literature & Film,LIT305_Fall2022_S01,30,Isadora Wagner,C1,On-campus
Calculus,MATH101_Fall2022_S01,50,Nguyen Trung Hieu,E4,On-campus
Ideas of Math,MATH102_Fall2022_S01,50,Van Truong Son,E4,On-campus
Linear Algebra,MATH103_Fall2022_S01,50,Nguyen Trung Hieu,E4,On-campus
Introduction to Data Analysis,MATH105_Fall2022_S01,50,Van Truong Son,E4,On-campus
Stochastic Calculus,MATH305_Fall2022_S01,30,Le Nhat Tan,C4,On-campus
Independent Study: Impacts of (digital) marketing on the success of purpose-driven businesses,ECON398_Fall2022_S01,10,Khieu Van Hoang,C2,On-campus
Market Research Specialization,ECON398_Fall2022_S02,10,Graeme Walker,C2,On-campus
Engineering Exploration: Sink or Swim,ENG102_Fall2022_S01,30,Doan Nhat Minh,E3,On-campus
Product Development,ENG201_Fall2022_S01,25,Le Quan,E3 E4,On-campus
