Video and Film Production,ARTS104_Fall2022_S01,25,Aaron Toronto,On-campus
Principles of Acting,ARTS206_Fall2022_S01,25,Aaron Toronto,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S06,45,Elsa Costa,On-campus
Race and Empire,HIS306_Fall2022_S01,30,Elsa Costa,On-campus
Giving and Effectiveness,ECON210_Fall2022_S01,40,Graeme Walker,On-campus
Behavioural and Experimental Economics,ECON305_Fall2022_S01,30,Graeme Walker,On-campus
Market Research Specialization,ECON398_Fall2022_S02,10,Graeme Walker,On-campus
Personality Psychology,PSY204_Fall2022_S01,40,Hoang Minh To Nga,On-campus
Counseling Psychology,PSY302_Fall2022_S01,30,Hoang Minh To Nga,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S03,45,Huynh Viet Linh,On-campus
Algorithm,CS102_Fall2022_S01,50,Huynh Viet Linh,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S04,45,Ian Kalman,On-campus
Social Inquiry And the Social Sciences,SOCI102_Fall2022_S01,50,Ian Kalman,On-campus
Foundations in Literary Studies,LIT101_Fall2022_S01,50,Isadora Wagner,On-campus
Pacific Voyages in Literature & Film,LIT305_Fall2022_S01,30,Isadora Wagner,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S05,45,Khieu Van Hoang,On-campus
Principles of Economics 2,ECON103_Fall2022_S01,50,Khieu Van Hoang,On-campus
Economics of Inequality,ECON302_Fall2022_S01,30,Khieu Van Hoang,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S04,45,Lan Nguyen,On-campus
Principles of Economics 1,ECON101_Fall2022_S01,50,Lan Nguyen,On-campus
Psychology Experiential Learning Program,EL102_Fall2022_S01,20,Lan Thi Nguyen,On-campus
Introductory Psychology,PSY101_Fall2022_S01,50,Lan Thi Nguyen,On-campus
Organizational Psychology,PSY207_Fall2022_S01,40,Lan Thi Nguyen,On-campus
Alien Uncanny Strange in E. Asian Cinema,ARTS211_Fall2022_S01,40,Linda Zhang,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S05,45,Linda Zhang,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S02,45,Mark Frank,On-campus
Asian Borderlands,HIS304_Fall2022_S01,30,Mark Frank,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S03,45,Matthew McDonald,On-campus
Introduction to Psychological Disorders Diagnosis & Treatment,PSY205_Fall2022_S01,40,Matthew McDonald,On-campus
South Korea: Society and Culture,SOCI212_Fall2022_S01,40,Nankyung Choi,Online
Women and Politics,SOCI213_Fall2022_S01,40,Nankyung Choi,Online
The Legacy of the War in Retrospect I,VS204_Fall2022_S01,20,Nguyen Nam,On-campus
Developing Vietnam,VS214_Fall2022_S01,25,Nguyen Nam,On-campus
The Challenge of Change: Civil Society and Social Movements in Vietnam,VS203_Fall2022_S01,40,Nguyen Thanh Trung,On-campus
Contending Theories of International Relations: A Comprehensive View of Vietnam and the World,VS215_Fall2022_S01,30,Nguyen Thanh Trung,On-campus
Scientific Inquiry,CORE104_Fall2022_S01,45,Nguyen Thi Hong Dung,On-campus
Introductory Biology,IS101_Fall2022_S01,50,Nguyen Thi Hong Dung,On-campus
Scientific Inquiry,CORE104_Fall2022_S03,45,Nguyen Thi Huyen Trang,On-campus
Environmental Sciences,IS103_Fall2022_S01,50,Nguyen Thi Huyen Trang,On-campus
Scientific Inquiry,CORE104_Fall2022_S02,45,Nguyen Thi Trang,On-campus
Organic Chemistry,IS205_Fall2022_S01,40,Nguyen Thi Trang,On-campus
Calculus,MATH101_Fall2022_S01,50,Nguyen Trung Hieu,On-campus
Linear Algebra,MATH103_Fall2022_S01,50,Nguyen Trung Hieu,On-campus
Introduction to Champa and Khmer History,VS114_Fall2022_S01,50,Nicolas Weber,On-campus
Sources for Vietnamese and Southeast Asian History,VS303_Fall2022_S01,30,Nicolas Weber,On-campus
Introduction to Art History and Theory,ARTS102_Fall2022_S01,50,Pamela Corey,On-campus
Independent Study: Advanced Readings in Theory,ARTS398_Fall2022_S01,10,Pamela Corey,On-campus
Digital Humanities in Vietnam Studies Contexts I,VS116_Fall2022_S01,50,Phan Thanh Trung,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S02,45,Phan Thanh Trung,On-campus
Computer Science I,CS101_Fall2022_S01,50,Phan Thanh Trung,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S01,45,Phan Tuan Ngoc,On-campus
Econometrics,ECON209_Fall2022_S01,40,Phan Tuan Ngoc,On-campus
Introduction to Visual Studies,ARTS101_Fall2022_S02,50,Richard Streitmatter-Tran,On-campus
2D/3D Foundations,ARTS107_Fall2022_S01,25,Richard Streitmatter-Tran,On-campus
US in the World,HIS108_Fall2022_S01,50,Sean Fear,On-campus
The Global Vietnam War I,HIS208_Fall2022_S01,40,Sean Fear,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S01,45,Tobias Burgers,On-campus
Introduction to Science and Technology Studies,SOCI211_Fall2022_S01,40,Tobias Burgers,On-campus
Ideas of Math,MATH102_Fall2022_S01,50,Van Truong Son,On-campus
Introduction to Data Analysis,MATH105_Fall2022_S01,50,Van Truong Son,On-campus
Critical Methods in Literary Studies,LIT103_Fall2022_S01,50,Yen Vu,On-campus
Film Fiction and the Making of Modern Vietnams,LIT303_Fall2022_S01,30,Yen Vu,On-campus
