2D/3D Foundations,ARTS107_Summer2022_S01,25,Richard Streitmatter-Tran,On-campus
Digital Media Arts,ARTS210_Summer2022_S01,25,Chau Tran-Vi,On-campus
Documentary Filmmaking and Video Journalism,ARTS302_Summer2022_S01,25,Duy Linh Tu,On-campus
Global Humanities and Social Change A,CORE101_Summer2022_S05,60,Mark Frank,Online
Modern Vietnamese Culture and Society A,CORE102_Summer2022_S05,60,Pamela Corey,Online
Design and Systems Thinking A,CORE105_Summer2022_S04,60,Truong Trung Kien,On-campus
Programming for Data Science and Visualization,CS103_Summer2022_S01,60,Huynh The Dang,On-campus
Introduction to Artificial Intelligence,CS204_Summer2022_S01,40,Ha Viet Uyen Synh,On-campus
Introduction to Cyber Security,CS206_Summer2022_S01,40,Murthy Rallapalli,Hybrid
Independent Study: Machine Learning,CS398_Summer2022_S01,10,Murphy Rallapalli,Hybrid
Econometrics,ECON209_Summer2022_S01,50,Phan Tuan Ngoc,On-campus
[EL] Psychology Experiential Learning Program,EL102_Summer2022_S01,10,Matthew McDonald,On-campus
Sensor Measurement & Analysis,ENG204_Summer2022_S01,40,Nguyen Hop Minh,On-campus
Fulbright History Lab Independent Research Seminar,HIS298_Summer2022_S01,10,Antoine Le,Hybrid
Sustainable development: Science and Industries ,IS107_Summer2022_S01,60,Nguyen Thi Trang,On-campus
Algae,IS207_Summer2022_S01,40,Van Vu,On-campus
Introduction to Bioinformatics,IS210_Summer2022_S01,40,Ly Le,Hybrid
Literature and Film of the Vietnamese Diaspora,LIT204_Summer2022_S01,40,Isadora Wagner,On-campus
Gender and War Studies: The U.S - Vietnam War,LIT206_Summer2022_S01,40,Isadora Wagner,On-campus
Multivariable Calculus,MATH104_Summer2022_S01,40,Janet Harris,On-campus
Introduction to Data Analysis,MATH105_Summer2022_S01,60,Mai Dao,Online
Probability,MATH205_Summer2022_S01,40,Tr?n Duy Hi?n,Hybrid
Introductory Psychology,PSY101_Summer2022_S01,60,Cecile Brennan,Online
Counseling Psychology,PSY302_Summer2022_S01,25,Nathan Gehlert,Hybrid
Educational Psychology,PSY303_Summer2022_S01,25,Tracy Masterson,Online
Addictions across the Lifespan,PSY304_Summer2022_S01,25,Martina Moore,Online
Eco-Village Eco-District Eco-Life,SOCI205_Summer2022_S01,40,Paolo Vincenzo Genovese,Online
Exploring Identities in Asia,SOCI209_Summer2022_S01,40,Chang Yau Hoon,Online
The Anthropology of Entrepreneurship,SOCI302_Summer2022_S01,25,Esther Horat,On-campus
Evolution of Vietnamese Society in the 20th century from a multidisciplinary perspective,VS301_Summer2022_S01,25,Hoang Thach Quan,Hybrid
